,Star Name,Distance,Mass,Radius,Gravity
0,SDSS J000013.54+255418.6Â [de],46.1,9.113642553599999e+28,70777296.90899992,1214.2000569364636
1,2MASS J00040288-6410358,192.0,3.6074835108e+28,116532317.13299993,177.2955327030963
2,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,1648.5172507306947
3,2MASS J00274197+0503417,236.0,5.8858941492000005e+28,102948795.50399993,370.6432628229714
4,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71799994,1393.9943359838155
5,2MASS J00332386-1521309Â [de],131.0,5.5061590427999995e+28,102233873.31299993,351.5971318717642
6,2MASS J00345157+0523050,31.0,7.974437234399999e+28,67202685.95399994,1178.4549471797186
7,2MASS 0036+1821,28.6,7.974437234399999e+28,67202685.95399994,1178.4549471797186
8,2MASSW J0045214+163445,57.0,4.3669537235999995e+28,115817394.942,217.2787267524544
9,WISEP J004701.06+680352.1Â [fr],40.0,2.2784106383999997e+28,92939884.82999994,176.0410467164833
10,2MASS J00501994-3322402Â [de],34.0,7.594702128e+28,67202685.95399994,1122.3380449330652
11,2MASS J00584253-0651239Â [de],96.0,5.5061590427999995e+28,102233873.31299993,351.5971318717642
12,2MASSI J0103320+193536,70.0,9.873112766399999e+28,70062374.71799994,1342.364916132563
13,SDSSp J010752.33+004156.1Â [de],51.0,9.873112766399999e+28,70062374.71799994,1342.364916132563
14,2MASSI J0117474-340325Â [de],163.0,3.797351064e+28,115817394.942,188.93802326300383
15,2MASS J01415823-4633574Â [de],130.0,3.797351064e+28,115102472.751,191.292368446984
16,SDSS J015141.69+124429.6,70.0,8.9237750004e+28,69347452.52699994,1238.4366334263539
17,SDSS J020742.48+000056.2Â [de],111.0,8.9237750004e+28,69347452.52699994,1238.4366334263539
18,2MASS J02103857-3015313,101.0,2.848013298e+28,109383095.22299999,158.86484308965376
19,2MASS J02340093-6442068,155.0,3.797351064e+28,115817394.942,188.93802326300383
20,2MASS J02411151-0326587Â [de],152.0,5.1264239364e+28,100804028.93099992,336.70141347991955
21,2MASS J02431371âˆ’2453298,35.0,6.265629255599999e+28,70777296.90899992,834.7625391438187
22,LP 771-21,53.0,1.48096691496e+29,77211596.628,1657.9311541328584
23,Teegarden's star,12.578,1.5189404256e+29,90795118.25699992,1229.7078510792437
24,2MASS J02535980+3206373,184.0,1.2341390958e+29,135835216.28999993,446.40140770557906
25,WISE J0254+0223,24.0,1.2341390958e+29,135835216.28999993,446.40140770557906
26,DEN 0255-4700,16.2,1.5189404256e+29,69347452.52699994,2107.977248385283
27,2MASS J03185403-3421292Â [de],45.0,9.3035101068e+28,69347452.52699994,1291.136064635986
28,2MASS J03205965+1854233,47.0,1.67083446816e+29,82216051.96499993,1649.7053854867931
29,2MASS J03231002-4631237,192.0,4.3669537235999995e+28,118677083.70599999,206.93362261908166
30,SDSS J032553.17+042540.1,59.0,8.544039894e+28,67917608.14499994,1236.18851364622
31,2MASS J03264225-2102057Â [de],80.0,3.4176159576e+28,92939884.82999994,264.06157007472495
32,2MASS J03284265+2302051Â [de],98.0,1.02528478728e+29,70062374.71799994,1393.9943359838155
33,2MASS J03341218-4953322,27.0,1.3860331383599998e+29,74351907.864,1673.3068242582376
34,LP 944-20,20.9,1.3860331383599998e+29,102233873.31299993,885.0548491944406
35,2MASP J0345432+254023,88.0,1.40501989368e+29,75066830.055,1664.073567827919
36,Teide 1,380.0,1.0442715426e+29,270240588.1979999,95.4329811379459
37,2MASS J03510004-0052452,48.0,1.93664904264e+29,90795118.25699992,1567.877510126036
38,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,284.5781383444831
39,2MASS J04151954âˆ’0935066,18.6,5.696026596e+28,67917608.14499994,824.1256757641465
40,2MASS J04285096-2253227Â [de],85.0,1.5189404256e+29,77926518.81899999,1669.384557701969
41,2MASS J04351612-1606574,34.0,1.8986755319999998e+29,90080196.06599993,1561.630600439116
42,2MASS J04362788-4114465,142.0,7.4048345748e+28,140839671.6269999,249.1446440491341
43,2MASS J04390101-2353083Â [de],29.5,9.113642553599999e+28,69347452.52699994,1264.7863490311697
44,2MASS J04433764+0002040,82.0,4.1770861704e+28,127256149.99799992,172.14803783504945
45,2MASS J04455387-3048204Â [de],42.0,1.21515234048e+29,71492219.1,1586.7166344045677
46,2MASS J04510093-3402150Â [de],69.0,1.97462255328e+27,5147439775.2,0.004973793462398577
47,2MASS J05002100+0330501Â [de],44.0,1.21515234048e+29,71492219.1,1586.7166344045677
48,2MASS J05012406-0010452Â [de],64.0,3.987218617199999e+28,98659262.35799992,273.3886765721484
49,2MASS J05160945-0445499Â [de],73.0,8.9237750004e+28,69347452.52699994,1238.4366334263539
50,2MASS J0523âˆ’1403,40.0,1.2910993617600001e+29,72207141.291,1652.6678012497337
51,SDSS J053951.99-005902.0,41.62,1.1581920745199998e+29,72207141.291,1482.5402334740254
52,LSR 0602+3910Â [de],34.6,5.3162914895999995e+28,100804028.93099992,349.171836201398
53,2MASS J06085283-2753583,102.0,7.2149670216e+28,107953250.84099999,413.1893345369554
54,2MASS J06244595-4521548Â [de],39.0,1.0632582979199999e+29,70777296.90899992,1416.566733092541
55,2MASS J06411840-4322329Â [de],65.0,1.27211260644e+29,72207141.291,1628.363862996061
56,DENIS-P J0652197-253450Â [de],51.0,1.4240066489999998e+29,75066830.055,1686.5610484742424
57,2MASS J07075327-4900503,60.0,1.36704638304e+29,73636985.673,1682.5866846122526
58,UGPS J072227.51-054031.2,13.4,4.9365563831999995e+28,70062374.71799994,671.1824580662815
59,2MASSI J0727182+171001Â [de],29.6,7.784569681199999e+28,67202685.95399994,1150.396496056392
60,2MASS J07290002-3954043Â [de],25.8,7.0250994684e+28,67202685.95399994,1038.1626915630854
61,SDSS J074201.41+205520.5Â [de],49.0,8.1643047876e+28,67202685.95399994,1206.513398303045
62,DENIS-P J0751164-253043Â [de],55.0,1.3480596277199998e+29,73636985.673,1659.2174251037488
63,2MASS J07522390+1612157,60.0,3.81633781932e+27,4861470898.799999,0.010776993793094389
64,DENIS J081730.0-615520,16.1,8.3541723408e+28,67202685.95399994,1234.571849426372
65,2MASS J08251968+2115521Â [de],35.0,9.873112766399999e+28,70062374.71799994,1342.364916132563
66,SDSSp J083008.12+482847.4Â [de],43.0,9.113642553599999e+28,70777296.90899992,1214.2000569364636
67,LHS 2021,55.0,1.67083446816e+29,82216051.96499993,1649.7053854867931
68,SDSS J083048.80+012831.1Â [de],77.0,8.733907447199999e+28,68632530.33599994,1237.4702484573404
69,2MASSI J0835425-081923Â [de],23.53,1.1771788298400001e+29,71492219.1,1537.1317395794251
70,2MASSI J0847287-153237Â [de],43.0,1.21515234048e+29,71492219.1,1586.7166344045677
71,2MASS J08533619-0329321,27.6,1.46198015964e+29,76496674.437,1667.4106478888943
72,2MASSI J0859254-194926Â [de],50.0,9.493377659999999e+28,70062374.71799994,1290.7354962813106
73,2MASSI J0937347+293142,20.0,7.974437234399999e+28,67202685.95399994,1178.4549471797186
74,2MASS 0939âˆ’2448,17.4,6.0757617024e+28,67917608.14499994,879.0673874817563
75,2MASS J09490860-1545485Â [de],59.0,9.3035101068e+28,68632530.33599994,1318.1748298784714
76,2MASS J10073369-4555147,46.0,8.3541723408e+28,67202685.95399994,1234.571849426372
77,2MASSI J1010148-040649Â [de],55.0,9.6832452132e+28,70062374.71799994,1316.5502062069368
78,2MASS J10224821+5825453Â [de],60.0,5.1264239364e+28,100804028.93099992,336.70141347991955
79,2MASSW J1036530-344138Â [de],53.0,9.3035101068e+28,69347452.52699994,1291.136064635986
80,2MASS J1047538+212423Â [de],34.4,7.974437234399999e+28,67202685.95399994,1178.4549471797186
81,DEN 1048-3956,13.15,1.46198015964e+29,76496674.437,1667.4106478888943
82,Luhman 16B,6.516,8.1643047876e+28,72922063.482,1024.6782379282668
83,Luhman 16A,6.516,7.594702128e+28,72207141.291,972.157530146902
84,DENIS-P J1058.7âˆ’1548,49.0,1.21515234048e+29,71492219.1,1586.7166344045677
85,TWA 28,180.0,6.8352319152e+28,170866403.649,156.25218516002334
86,Cha 110913-773444,163.0,1.5189404256e+28,128685994.37999994,61.2159195372133
87,SDSS J111010.01+011613.1,63.0,1.7088079788e+28,88650351.684,145.11708292998327
88,2MASS J11145133âˆ’2618235,18.2,6.265629255599999e+28,68632530.33599994,887.7503956324398
89,TWA 26,137.0,5.696026596e+28,157282882.01999998,153.6721947060209
90,2MASS J11544223-3400390Â [de],129.0,7.0250994684e+28,107238328.64999999,407.6980241178403
91,2MASSW J1155395-372735Â [de],31.0,1.21515234048e+29,71492219.1,1586.7166344045677
92,2MASS J12074836-3900043,217.0,3.2277484044000003e+28,122251694.661,144.1372066665686
93,2MASSI J1217110-031113Â [de],36.0,7.974437234399999e+28,67202685.95399994,1178.4549471797186
94,2M 1237+6526,45.6,7.784569681199999e+28,67202685.95399994,1150.396496056392
95,TWA 29,262.0,3.797351064e+27,1787305477.5000002,0.07933583172022834
96,SDSSp J125453.90-012247.4Â [de],38.0,8.9237750004e+28,70062374.71799994,1213.291366504432
